subpath	export_name	member_name	member_kind	static	optional	signatures	declaration
.	Chat	sendStream	method	false	false	<O extends z.ZodTypeAny = z.ZodTypeAny, CustomOptions extends z.ZodTypeAny = z.ZodObject<{ version: z.ZodOptional<z.ZodString>; temperature: z.ZodOptional<z.ZodNumber>; maxOutputTokens: z.ZodOptional<z.ZodNumber>; topK: z.ZodOptional<z.ZodNumber>; topP: z.ZodOptional<z.ZodNumber>; stopSequences: z.ZodOptional<z.ZodArray<z.ZodString, "many">>; }, "passthrough", z.ZodTypeAny, z.objectOutputType<{ version: z.ZodOptional<z.ZodString>; temperature: z.ZodOptional<z.ZodNumber>; maxOutputTokens: z.ZodOptional<z.ZodNumber>; topK: z.ZodOptional<z.ZodNumber>; topP: z.ZodOptional<z.ZodNumber>; stopSequences: z.ZodOptional<z.ZodArray<z.ZodString, "many">>; }, z.ZodTypeAny, "passthrough">, z.objectInputType<{ version: z.ZodOptional<z.ZodString>; temperature: z.ZodOptional<z.ZodNumber>; maxOutputTokens: z.ZodOptional<z.ZodNumber>; topK: z.ZodOptional<z.ZodNumber>; topP: z.ZodOptional<z.ZodNumber>; stopSequences: z.ZodOptional<z.ZodArray<z.ZodString, "many">>; }, z.ZodTypeAny, "passthrough">>>(options: string | Part[] | GenerateStreamOptions<O, CustomOptions>): GenerateStreamResponse<z.infer<O>>	@genkit-ai/ai/lib/session.d.ts:213:5
.	Chat	messages	getter	false	false	(): MessageData[]	@genkit-ai/ai/lib/session.d.ts:214:5
.	Chat	updateMessages	property	false	false		@genkit-ai/ai/lib/session.d.ts:215:5
.	Document	content	property	false	false		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1056:5
.	Document	metadata	property	false	true		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1057:5
.	Document	Constructor	constructor	false	false	(data: DocumentData): Document	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1058:5
.	Document	fromText	method	true	false	(text: string, metadata?: Record<string, any>): Document	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1059:5
.	Document	fromMedia	method	true	false	(url: string, contentType?: string, metadata?: Record<string, unknown>): Document	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1060:5
.	Document	fromData	method	true	false	(data: string, dataType?: string, metadata?: Record<string, unknown>): Document	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1061:5
.	Document	text	getter	false	false	(): string	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1066:5
.	Document	media	getter	false	false	(): { url: string; contentType?: string; }[]	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1071:5
.	Document	data	getter	false	false	(): string	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1078:5
.	Document	dataType	getter	false	false	(): string | undefined	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1082:5
.	Document	toJSON	method	false	false	(): DocumentData	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1083:5
.	Document	getEmbeddingDocuments	method	false	false	(embeddings: Embedding[]): Document[]	@genkit-ai/ai/lib/document-SEV6zxye.d.ts:1091:5
.	EmbedderParams	embedder	property	false	false		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:282:5
.	EmbedderParams	content	property	false	false		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:283:5
.	EmbedderParams	metadata	property	false	true		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:284:5
.	EmbedderParams	options	property	false	true		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:285:5
.	EmbedderReference	name	property	false	false		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:361:5
.	EmbedderReference	configSchema	property	false	true		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:362:5
.	EmbedderReference	info	property	false	true		@genkit-ai/ai/lib/document-SEV6zxye.d.ts:363:5
