integration_name,npm_name,min_version_tested,max_version_tested
promise,promise,7.0.0,8.3.0
promise-js,promise-js,0.0.3,0.0.7
protobufjs,protobufjs,6.8.0,7.5.3
pug,pug,2.0.4,3.0.3
q,collections,5.0.0,5.1.13
q,q,2.0.0,2.0.3
redis,@node-redis/client,1.0.0,1.0.6
redis,@redis/client,1.1.0,5.6.0
redis,redis,4.0.0,5.6.0
restify,restify,3.0.0,11.1.0
rhea,amqp10,3.0.0,3.6.0
rhea,rhea,1.0.0,3.0.4
router,router,2.0.0,2.2.0
selenium,selenium-webdriver,4.11.0,4.34.0
sequelize,express,4.0.0,5.1.0
sequelize,sequelize,4.0.0,6.37.7
sequelize,sqlite3,5.0.8,5.1.7
sharedb,sharedb,1.0.0,5.2.2
tedious,tedious,1.0.0,19.0.0
undici,undici,4.4.1,7.12.0
vitest,@vitest/runner,1.6.0,3.2.4
vitest,vitest,2.0.5,3.2.4
when,when,3.0.0,3.7.8
winston,winston,1.0.0,3.17.0
